fecha,inicio_evento,fin_evento,pico_max,duracion_minutos
2025-03-08,2025-03-08 00:23:00,2025-03-08 01:14:00,0.89,51.0
2025-03-12,2025-03-12 03:36:00,2025-03-12 03:52:00,1.066,16.0
2025-03-13,2025-03-13 03:17:00,2025-03-13 03:53:00,1.061,36.0
2025-03-14,2025-03-14 05:32:00,2025-03-14 05:43:00,1.196,11.0
2025-03-16,2025-03-16 03:37:00,2025-03-16 04:46:00,0.791,69.0
2025-03-18,2025-03-18 05:46:00,2025-03-18 05:57:00,1.293,11.0
2025-03-22,2025-03-22 03:18:00,2025-03-22 04:30:00,0.725,72.0
2025-03-30,2025-03-30 04:02:00,2025-03-30 04:29:00,0.809,27.0
2025-04-02,2025-04-02 00:38:00,2025-04-02 02:40:00,0.664,122.0
2025-04-03,2025-04-03 03:30:00,2025-04-03 03:40:00,0.83,10.0
